name	party	fj_avg	bc_avg
Sylvie GOULARD	Mouvement Démocrate	0.968966	0.984238
Sylvie GOULARD	Citizens for European Development of Bulgaria	0.968858	0.984183
Sylvie GOULARD	Socialdemokratiet	0.968858	0.984183
Sylvie GOULARD	Česká strana sociálně demokratická	0.968310	0.983900
Sylvie GOULARD	Nea Demokratia	0.968198	0.983842
Sylvie GOULARD	-1	0.965517	0.982456
Sylvie GOULARD	Kansallinen Kokoomus	0.965517	0.982456
Sylvie GOULARD	Österreichische Volkspartei	0.965517	0.982456
Sylvie GOULARD	Freie Demokratische Partei	0.965398	0.982394
Sylvie GOULARD	Democraten 66	0.962329	0.980803
Sylvie GOULARD	Christlich-Soziale Union in Bayern e.V.	0.962199	0.980736
Sylvie GOULARD	Partido Popular	0.962199	0.980736
Sylvie GOULARD	Partija 'VIENOTIBA'	0.962199	0.980736
Sylvie GOULARD	Platforma Obywatelska	0.962199	0.980736
Sylvie GOULARD	Sozialdemokratische Partei Österreichs	0.959044	0.979094
Sylvie GOULARD	Christlich Demokratische Union Deutschlands	0.958904	0.979021
Sylvie GOULARD	Izquierda Unida	0.958904	0.979021
Sylvie GOULARD	Moderaterna	0.958763	0.978947
Sylvie GOULARD	Bündnis 90/Die Grünen	0.955782	0.977391
Sylvie GOULARD	Fine Gael Party	0.955631	0.977312
Beatriz BECERRA BASTERRECHEA	Partit Nazzjonalista	0.996599	0.998296
Beatriz BECERRA BASTERRECHEA	Partito Democratico	0.989899	0.994924
Beatriz BECERRA BASTERRECHEA	Independent	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Partido Socialista Obrero Espanol	0.986577	0.993243
Beatriz BECERRA BASTERRECHEA	Conservative Party	0.986532	0.993220
Beatriz BECERRA BASTERRECHEA	Labour Party	0.986532	0.993220
Beatriz BECERRA BASTERRECHEA	Green Party	0.986486	0.993197
Beatriz BECERRA BASTERRECHEA	Christlich-Soziale Union in Bayern e.V.	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Partija 'VIENOTIBA'	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Platforma Obywatelska	0.986395	0.993151
Beatriz BECERRA BASTERRECHEA	Die Grünen - Die Grüne Alternative	0.983221	0.991540
Beatriz BECERRA BASTERRECHEA	Europe Écologie	0.983165	0.991511
Beatriz BECERRA BASTERRECHEA	Sozialdemokratische Partei Deutschlands	0.983165	0.991511
Beatriz BECERRA BASTERRECHEA	Forza Italia	0.983108	0.991482
Beatriz BECERRA BASTERRECHEA	Partij van de Arbeid	0.983108	0.991482
Beatriz BECERRA BASTERRECHEA	Sozialdemokratische Partei Österreichs	0.983108	0.991482
Beatriz BECERRA BASTERRECHEA	Christlich Demokratische Union Deutschlands	0.983051	0.991453
Beatriz BECERRA BASTERRECHEA	-1	0.982993	0.991424
Beatriz BECERRA BASTERRECHEA	Kansallinen Kokoomus	0.982993	0.991424
Beatriz BECERRA BASTERRECHEA	Moderaterna	0.982993	0.991424
Guy VERHOFSTADT	Freie Demokratische Partei	0.986159	0.993031
Guy VERHOFSTADT	Christlich-Soziale Union in Bayern e.V.	0.982818	0.991334
Guy VERHOFSTADT	Partido Popular	0.982818	0.991334
Guy VERHOFSTADT	Partija 'VIENOTIBA'	0.982818	0.991334
Guy VERHOFSTADT	Platforma Obywatelska	0.982818	0.991334
Guy VERHOFSTADT	Citizens for European Development of Bulgaria	0.982759	0.991304
Guy VERHOFSTADT	Partit Nazzjonalista	0.979522	0.989655
Guy VERHOFSTADT	Christlich Demokratische Union Deutschlands	0.979452	0.989619
Guy VERHOFSTADT	-1	0.979381	0.989583
Guy VERHOFSTADT	Kansallinen Kokoomus	0.979381	0.989583
Guy VERHOFSTADT	Moderaterna	0.979381	0.989583
Guy VERHOFSTADT	Österreichische Volkspartei	0.979381	0.989583
Guy VERHOFSTADT	Democraten 66	0.976109	0.987910
Guy VERHOFSTADT	Arbetarepartiet- Socialdemokraterna	0.976027	0.987868
Guy VERHOFSTADT	Mouvement Démocrate	0.976027	0.987868
Guy VERHOFSTADT	Socialdemokratiet	0.975945	0.987826
Guy VERHOFSTADT	Christen Democratisch Appel	0.972881	0.986254
Guy VERHOFSTADT	Sozialdemokratische Partei Deutschlands	0.972881	0.986254
Guy VERHOFSTADT	Sozialdemokratische Partei Österreichs	0.972789	0.986207
Guy VERHOFSTADT	Conservative Party	0.969595	0.984563
Sophia in 't VELD	-1	0.996540	0.998267
Sophia in 't VELD	Österreichische Volkspartei	0.996540	0.998267
Sophia in 't VELD	Christlich-Soziale Union in Bayern e.V.	0.993103	0.996540
Sophia in 't VELD	Partija 'VIENOTIBA'	0.993103	0.996540
Sophia in 't VELD	Platforma Obywatelska	0.993103	0.996540
Sophia in 't VELD	Citizens for European Development of Bulgaria	0.993080	0.996528
Sophia in 't VELD	Kansallinen Kokoomus	0.989655	0.994801
Sophia in 't VELD	Moderaterna	0.989655	0.994801
Sophia in 't VELD	Democraten 66	0.986301	0.993103
Sophia in 't VELD	Arbetarepartiet- Socialdemokraterna	0.986254	0.993080
Sophia in 't VELD	Mouvement Démocrate	0.986254	0.993080
Sophia in 't VELD	Partido Popular	0.986254	0.993080
Sophia in 't VELD	Socialdemokratiet	0.986207	0.993056
Sophia in 't VELD	Partit Nazzjonalista	0.982935	0.991394
Sophia in 't VELD	Sozialdemokratische Partei Österreichs	0.982935	0.991394
Sophia in 't VELD	Christlich Demokratische Union Deutschlands	0.982877	0.991364
Sophia in 't VELD	Freie Demokratische Partei	0.982759	0.991304
Sophia in 't VELD	Bündnis 90/Die Grünen	0.979592	0.989691
Sophia in 't VELD	Sinn Féin	0.979592	0.989691
Sophia in 't VELD	Sozialdemokratische Partei Deutschlands	0.976271	0.987993
Petr JEŽEK	Christen Democratisch Appel	0.993220	0.996599
Petr JEŽEK	Sinn Féin	0.989831	0.994889
Petr JEŽEK	Fine Gael Party	0.989796	0.994872
Petr JEŽEK	Die Grünen - Die Grüne Alternative	0.986532	0.993220
Petr JEŽEK	Sozialdemokratische Partei Deutschlands	0.986486	0.993197
Petr JEŽEK	Izquierda Unida	0.986395	0.993151
Petr JEŽEK	Independent	0.983221	0.991540
Petr JEŽEK	Les Républicains	0.983221	0.991540
Petr JEŽEK	Partido Socialista Obrero Espanol	0.983221	0.991540
Petr JEŽEK	Labour Party	0.983165	0.991511
Petr JEŽEK	Bündnis 90/Die Grünen	0.983108	0.991482
Petr JEŽEK	Parti socialiste	0.983108	0.991482
Petr JEŽEK	Partito Democratico	0.979866	0.989831
Petr JEŽEK	Europe Écologie	0.979798	0.989796
Petr JEŽEK	PODEMOS	0.979798	0.989796
Petr JEŽEK	Sozialdemokratische Partei Österreichs	0.979730	0.989761
Petr JEŽEK	Conservative Party	0.976510	0.988115
Petr JEŽEK	Green Party	0.976431	0.988075
Petr JEŽEK	Democraten 66	0.976351	0.988034
Petr JEŽEK	Partido Popular	0.976271	0.987993
Charles GOERENS	Česká strana sociálně demokratická	0.989286	0.994614
Charles GOERENS	Nea Demokratia	0.989247	0.994595
Charles GOERENS	Citizens for European Development of Bulgaria	0.968750	0.984127
Charles GOERENS	-1	0.965398	0.982394
Charles GOERENS	Kansallinen Kokoomus	0.965398	0.982394
Charles GOERENS	Österreichische Volkspartei	0.965398	0.982394
Charles GOERENS	Freie Demokratische Partei	0.965278	0.982332
Charles GOERENS	Christlich-Soziale Union in Bayern e.V.	0.962069	0.980668
Charles GOERENS	Partido Popular	0.962069	0.980668
Charles GOERENS	Partija 'VIENOTIBA'	0.962069	0.980668
Charles GOERENS	Platforma Obywatelska	0.962069	0.980668
