party_1	eu_2	fj_avg	bc_avg	fj_real	bc_real
Freie Demokratische Partei	Greens/EFA	0.865248	0.927757	0.000000	0.000000
Freie Demokratische Partei	ECR	0.856140	0.922495	0.000000	0.000000
Freie Demokratische Partei	EPP	0.850174	0.919021	0.000000	0.000000
Freie Demokratische Partei	EFDD	0.845614	0.916350	0.000000	0.000000
Freie Demokratische Partei	GUE-NGL	0.835125	0.910156	0.000000	0.000000
Freie Demokratische Partei	S&D	0.829932	0.907063	0.000000	0.000000
Freie Demokratische Partei	NI	0.000000	0.000000	0.000000	0.000000
Front de Gauche	GUE-NGL	0.447761	0.618557	0.000000	0.000000
Front de Gauche	ALDE/ADLE	0.433213	0.604534	0.000000	0.000000
Front de Gauche	EFDD	0.425532	0.597015	0.000000	0.000000
Front de Gauche	Greens/EFA	0.425532	0.597015	0.000000	0.000000
Front de Gauche	ECR	0.421053	0.592593	0.000000	0.000000
Front de Gauche	EPP	0.418118	0.589681	0.000000	0.000000
Front de Gauche	S&D	0.408163	0.579710	0.000000	0.000000
Front de Gauche	NI	0.000000	0.000000	0.000000	0.000000
Front national	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
Front national	ECR	0.000000	0.000000	0.000000	0.000000
Front national	EFDD	0.000000	0.000000	0.000000	0.000000
Front national	EPP	0.000000	0.000000	0.000000	0.000000
Front national	GUE-NGL	0.000000	0.000000	0.000000	0.000000
Front national	Greens/EFA	0.000000	0.000000	0.000000	0.000000
Front national	NI	-nan	-nan	0.000000	0.000000
Front national	S&D	0.000000	0.000000	0.000000	0.000000
Green Party	Greens/EFA	0.741135	0.851324	0.000000	0.000000
Green Party	ECR	0.733333	0.846154	0.000000	0.000000
Green Party	EFDD	0.728873	0.843177	0.000000	0.000000
Green Party	EPP	0.728223	0.842742	0.000000	0.000000
Green Party	GUE-NGL	0.715827	0.834382	0.000000	0.000000
Green Party	S&D	0.710884	0.831014	0.000000	0.000000
Green Party	ALDE/ADLE	0.705263	0.827160	0.000000	0.000000
Green Party	NI	0.000000	0.000000	0.000000	0.000000
Independent	EPP	0.937500	0.967742	0.000000	0.000000
Independent	ECR	0.937282	0.967626	0.000000	0.000000
Independent	Greens/EFA	0.933566	0.965642	0.000000	0.000000
Independent	S&D	0.921769	0.959292	0.000000	0.000000
Independent	EFDD	0.913495	0.954792	0.000000	0.000000
Independent	ALDE/ADLE	0.902778	0.948905	0.000000	0.000000
Independent	GUE-NGL	0.871528	0.931354	0.000000	0.000000
Independent	NI	0.000000	0.000000	0.000000	0.000000
Izquierda Unida	GUE-NGL	0.447761	0.618557	0.000000	0.000000
Izquierda Unida	ALDE/ADLE	0.428058	0.599496	0.000000	0.000000
Izquierda Unida	EFDD	0.425532	0.597015	0.000000	0.000000
Izquierda Unida	Greens/EFA	0.425532	0.597015	0.000000	0.000000
Izquierda Unida	ECR	0.421053	0.592593	0.000000	0.000000
Izquierda Unida	EPP	0.418118	0.589681	0.000000	0.000000
Izquierda Unida	S&D	0.408163	0.579710	0.000000	0.000000
Izquierda Unida	NI	0.000000	0.000000	0.000000	0.000000
Kansallinen Kokoomus	ALDE/ADLE	0.773381	0.872211	0.000000	0.000000
Kansallinen Kokoomus	Greens/EFA	0.765957	0.867470	0.000000	0.000000
Kansallinen Kokoomus	ECR	0.757895	0.862275	0.000000	0.000000
Kansallinen Kokoomus	EFDD	0.753521	0.859438	0.000000	0.000000
Kansallinen Kokoomus	EPP	0.752613	0.858847	0.000000	0.000000
Kansallinen Kokoomus	GUE-NGL	0.747292	0.855372	0.000000	0.000000
Kansallinen Kokoomus	S&D	0.734694	0.847059	0.000000	0.000000
Kansallinen Kokoomus	NI	0.000000	0.000000	0.000000	0.000000
Labour Party	EPP	0.975694	0.987698	0.000000	0.000000
Labour Party	ECR	0.968750	0.984127	0.000000	0.000000
Labour Party	Greens/EFA	0.965157	0.982270	0.000000	0.000000
Labour Party	ALDE/ADLE	0.961404	0.980322	0.000000	0.000000
Labour Party	S&D	0.959184	0.979167	0.000000	0.000000
Labour Party	EFDD	0.951557	0.975177	0.000000	0.000000
Labour Party	GUE-NGL	0.896552	0.945455	0.000000	0.000000
Labour Party	NI	0.000000	0.000000	0.000000	0.000000
Lega Nord	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
Lega Nord	ECR	0.000000	0.000000	0.000000	0.000000
Lega Nord	EFDD	0.000000	0.000000	0.000000	0.000000
Lega Nord	EPP	0.000000	0.000000	0.000000	0.000000
Lega Nord	GUE-NGL	0.000000	0.000000	0.000000	0.000000
Lega Nord	Greens/EFA	0.000000	0.000000	0.000000	0.000000
Lega Nord	NI	-nan	-nan	0.000000	0.000000
Lega Nord	S&D	0.000000	0.000000	0.000000	0.000000
Les Républicains	ALDE/ADLE	0.967509	0.983486	0.000000	0.000000
Les Républicains	EPP	0.933798	0.965766	0.000000	0.000000
Les Républicains	ECR	0.926829	0.962025	0.000000	0.000000
Les Républicains	Greens/EFA	0.916376	0.956364	0.000000	0.000000
Les Républicains	S&D	0.911565	0.953737	0.000000	0.000000
Les Républicains	EFDD	0.903114	0.949091	0.000000	0.000000
Les Républicains	GUE-NGL	0.861111	0.925373	0.000000	0.000000
Les Républicains	NI	0.000000	0.000000	0.000000	0.000000
Moderaterna	ALDE/ADLE	0.877698	0.934866	0.000000	0.000000
Moderaterna	ECR	0.859649	0.924528	0.000000	0.000000
Moderaterna	EPP	0.853659	0.921053	0.000000	0.000000
Moderaterna	EFDD	0.836237	0.910816	0.000000	0.000000
Moderaterna	Greens/EFA	0.836237	0.910816	0.000000	0.000000
Moderaterna	S&D	0.833333	0.909091	0.000000	0.000000
Moderaterna	GUE-NGL	0.800000	0.888889	0.000000	0.000000
Moderaterna	NI	0.000000	0.000000	0.000000	0.000000
Mouvement Démocrate	ALDE/ADLE	0.895307	0.944762	0.000000	0.000000
Mouvement Démocrate	Greens/EFA	0.879433	0.935849	0.000000	0.000000
Mouvement Démocrate	ECR	0.870175	0.930582	0.000000	0.000000
Mouvement Démocrate	EPP	0.864111	0.927103	0.000000	0.000000
Mouvement Démocrate	EFDD	0.853147	0.920755	0.000000	0.000000
Mouvement Démocrate	S&D	0.843537	0.915129	0.000000	0.000000
Mouvement Démocrate	GUE-NGL	0.836299	0.910853	0.000000	0.000000
Mouvement Démocrate	NI	0.000000	0.000000	0.000000	0.000000
Movimento 5 Stelle	EFDD	0.960993	0.980108	0.000000	0.000000
Movimento 5 Stelle	Greens/EFA	0.940351	0.969259	0.000000	0.000000
Movimento 5 Stelle	EPP	0.930796	0.964158	0.000000	0.000000
Movimento 5 Stelle	ECR	0.923875	0.960432	0.000000	0.000000
Movimento 5 Stelle	S&D	0.921769	0.959292	0.000000	0.000000
Movimento 5 Stelle	GUE-NGL	0.897887	0.946197	0.000000	0.000000
Movimento 5 Stelle	ALDE/ADLE	0.896194	0.945255	0.000000	0.000000
Movimento 5 Stelle	NI	0.000000	0.000000	0.000000	0.000000
Nea Demokratia	GUE-NGL	0.679104	0.808889	0.000000	0.000000
Nea Demokratia	ALDE/ADLE	0.657040	0.793028	0.000000	0.000000
Nea Demokratia	EPP	0.634146	0.776119	0.000000	0.000000
Nea Demokratia	Greens/EFA	0.633803	0.775862	0.000000	0.000000
Nea Demokratia	ECR	0.632867	0.775161	0.000000	0.000000
Nea Demokratia	S&D	0.619048	0.764706	0.000000	0.000000
Nea Demokratia	EFDD	0.616725	0.762931	0.000000	0.000000
Nea Demokratia	NI	0.000000	0.000000	0.000000	0.000000
PODEMOS	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
PODEMOS	ECR	0.000000	0.000000	0.000000	0.000000
PODEMOS	EFDD	0.000000	0.000000	0.000000	0.000000
PODEMOS	EPP	0.000000	0.000000	0.000000	0.000000
PODEMOS	GUE-NGL	0.000000	0.000000	0.000000	0.000000
PODEMOS	Greens/EFA	0.000000	0.000000	0.000000	0.000000
PODEMOS	NI	-nan	-nan	0.000000	0.000000
PODEMOS	S&D	0.000000	0.000000	0.000000	0.000000
Parti socialiste	Greens/EFA	0.965157	0.982270	0.000000	0.000000
Parti socialiste	ECR	0.961938	0.980600	0.000000	0.000000
Parti socialiste	S&D	0.959184	0.979167	0.000000	0.000000
Parti socialiste	EPP	0.955326	0.977153	0.000000	0.000000
Parti socialiste	EFDD	0.931507	0.964539	0.000000	0.000000
Parti socialiste	ALDE/ADLE	0.920962	0.958855	0.000000	0.000000
Parti socialiste	GUE-NGL	0.903114	0.949091	0.000000	0.000000
Parti socialiste	NI	0.000000	0.000000	0.000000	0.000000
Partido Popular	ALDE/ADLE	0.956679	0.977860	0.000000	0.000000
Partido Popular	EPP	0.923345	0.960145	0.000000	0.000000
Partido Popular	ECR	0.916376	0.956364	0.000000	0.000000
Partido Popular	Greens/EFA	0.905923	0.950640	0.000000	0.000000
Partido Popular	S&D	0.901361	0.948122	0.000000	0.000000
Partido Popular	EFDD	0.892734	0.943327	0.000000	0.000000
Partido Popular	GUE-NGL	0.850694	0.919325	0.000000	0.000000
Partido Popular	NI	0.000000	0.000000	0.000000	0.000000
Partido Socialista Obrero Espanol	ALDE/ADLE	0.971223	0.985401	0.000000	0.000000
Partido Socialista Obrero Espanol	EPP	0.944251	0.971326	0.000000	0.000000
Partido Socialista Obrero Espanol	ECR	0.944056	0.971223	0.000000	0.000000
Partido Socialista Obrero Espanol	Greens/EFA	0.940351	0.969259	0.000000	0.000000
Partido Socialista Obrero Espanol	S&D	0.921769	0.959292	0.000000	0.000000
Partido Socialista Obrero Espanol	EFDD	0.920139	0.958409	0.000000	0.000000
Partido Socialista Obrero Espanol	GUE-NGL	0.884615	0.938776	0.000000	0.000000
Partido Socialista Obrero Espanol	NI	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	ECR	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	EFDD	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	EPP	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	GUE-NGL	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	Greens/EFA	0.000000	0.000000	0.000000	0.000000
Partidul Naţional Liberal	NI	-nan	-nan	0.000000	0.000000
Partidul Naţional Liberal	S&D	0.000000	0.000000	0.000000	0.000000
Partij van de Arbeid	GUE-NGL	0.900000	0.947368	0.000000	0.000000
Partij van de Arbeid	S&D	0.897959	0.946237	0.000000	0.000000
Partij van de Arbeid	EFDD	0.895833	0.945055	0.000000	0.000000
Partij van de Arbeid	Greens/EFA	0.895833	0.945055	0.000000	0.000000
Partij van de Arbeid	EPP	0.886986	0.940109	0.000000	0.000000
Partij van de Arbeid	ECR	0.880137	0.936248	0.000000	0.000000
Partij van de Arbeid	ALDE/ADLE	0.878472	0.935305	0.000000	0.000000
Partij van de Arbeid	NI	0.000000	0.000000	0.000000	0.000000
Partija 'VIENOTIBA'	ALDE/ADLE	0.942446	0.970370	0.000000	0.000000
Partija 'VIENOTIBA'	EPP	0.916376	0.956364	0.000000	0.000000
Partija 'VIENOTIBA'	ECR	0.916084	0.956204	0.000000	0.000000
Partija 'VIENOTIBA'	Greens/EFA	0.898955	0.946789	0.000000	0.000000
Partija 'VIENOTIBA'	S&D	0.894558	0.944345	0.000000	0.000000
Partija 'VIENOTIBA'	EFDD	0.885813	0.939450	0.000000	0.000000
Partija 'VIENOTIBA'	GUE-NGL	0.850174	0.919021	0.000000	0.000000
Partija 'VIENOTIBA'	NI	0.000000	0.000000	0.000000	0.000000
Partit Nazzjonalista	ALDE/ADLE	0.306859	0.469613	0.000000	0.000000
Partit Nazzjonalista	GUE-NGL	0.297794	0.458924	0.000000	0.000000
Partit Nazzjonalista	EFDD	0.296820	0.457766	0.000000	0.000000
Partit Nazzjonalista	Greens/EFA	0.296820	0.457766	0.000000	0.000000
Partit Nazzjonalista	EPP	0.296167	0.456989	0.000000	0.000000
Partit Nazzjonalista	ECR	0.293706	0.454054	0.000000	0.000000
Partit Nazzjonalista	S&D	0.289116	0.448549	0.000000	0.000000
Partit Nazzjonalista	NI	0.000000	0.000000	0.000000	0.000000
Partito Democratico	ALDE/ADLE	0.974820	0.987250	0.000000	0.000000
Partito Democratico	EPP	0.947735	0.973166	0.000000	0.000000
Partito Democratico	ECR	0.947552	0.973070	0.000000	0.000000
Partito Democratico	Greens/EFA	0.937063	0.967509	0.000000	0.000000
Partito Democratico	S&D	0.925170	0.961131	0.000000	0.000000
Partito Democratico	EFDD	0.923611	0.960289	0.000000	0.000000
Partito Democratico	GUE-NGL	0.881533	0.937037	0.000000	0.000000
Partito Democratico	NI	0.000000	0.000000	0.000000	0.000000
Platforma Obywatelska	ALDE/ADLE	0.927798	0.962547	0.000000	0.000000
Platforma Obywatelska	EPP	0.895470	0.944853	0.000000	0.000000
Platforma Obywatelska	ECR	0.888502	0.940959	0.000000	0.000000
Platforma Obywatelska	Greens/EFA	0.878049	0.935065	0.000000	0.000000
Platforma Obywatelska	S&D	0.874150	0.932849	0.000000	0.000000
Platforma Obywatelska	EFDD	0.871528	0.931354	0.000000	0.000000
Platforma Obywatelska	GUE-NGL	0.835664	0.910476	0.000000	0.000000
Platforma Obywatelska	NI	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	ALDE/ADLE	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	ECR	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	EFDD	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	EPP	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	GUE-NGL	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	Greens/EFA	0.000000	0.000000	0.000000	0.000000
Prawo i Sprawiedliwość	NI	-nan	-nan	0.000000	0.000000
Prawo i Sprawiedliwość	S&D	0.000000	0.000000	0.000000	0.000000
Sinn Féin	GUE-NGL	0.548507	0.708434	0.000000	0.000000
Sinn Féin	EFDD	0.505263	0.671329	0.000000	0.000000
Sinn Féin	Greens/EFA	0.500000	0.666667	0.000000	0.000000
Sinn Féin	S&D	0.500000	0.666667	0.000000	0.000000
Sinn Féin	ECR	0.494810	0.662037	0.000000	0.000000
Sinn Féin	EPP	0.491409	0.658986	0.000000	0.000000
Sinn Féin	ALDE/ADLE	0.472222	0.641509	0.000000	0.000000
Sinn Féin	NI	0.000000	0.000000	0.000000	0.000000
Slovenska demokratska stranka	ALDE/ADLE	0.779783	0.876268	0.000000	0.000000
Slovenska demokratska stranka	EPP	0.752613	0.858847	0.000000	0.000000
Slovenska demokratska stranka	ECR	0.751748	0.858283	0.000000	0.000000
Slovenska demokratska stranka	Greens/EFA	0.735192	0.847390	0.000000	0.000000
Slovenska demokratska stranka	S&D	0.734694	0.847059	0.000000	0.000000
Slovenska demokratska stranka	EFDD	0.729167	0.843373	0.000000	0.000000
Slovenska demokratska stranka	GUE-NGL	0.710247	0.830579	0.000000	0.000000
Slovenska demokratska stranka	NI	0.000000	0.000000	0.000000	0.000000
Socialdemokratiet	ALDE/ADLE	0.541516	0.702576	0.000000	0.000000
Socialdemokratiet	Greens/EFA	0.531915	0.694444	0.000000	0.000000
Socialdemokratiet	EFDD	0.526502	0.689815	0.000000	0.000000
Socialdemokratiet	ECR	0.526316	0.689655	0.000000	0.000000
Socialdemokratiet	EPP	0.522648	0.686499	0.000000	0.000000
Socialdemokratiet	S&D	0.510204	0.675676	0.000000	0.000000
Socialdemokratiet	GUE-NGL	0.509025	0.674641	0.000000	0.000000
Socialdemokratiet	NI	0.000000	0.000000	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	EPP	0.947735	0.973166	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	ECR	0.947552	0.973070	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	ALDE/ADLE	0.946809	0.972678	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	Greens/EFA	0.943860	0.971119	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	S&D	0.925170	0.961131	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	EFDD	0.923611	0.960289	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	GUE-NGL	0.888112	0.940741	0.000000	0.000000
Sozialdemokratische Partei Deutschlands	NI	0.000000	0.000000	0.000000	0.000000
Sozialdemokratische Partei Österreichs	ALDE/ADLE	0.985560	0.992727	0.000000	0.000000
Sozialdemokratische Partei Österreichs	EPP	0.951220	0.975000	0.000000	0.000000
Sozialdemokratische Partei Österreichs	ECR	0.944251	0.971326	0.000000	0.000000
Sozialdemokratische Partei Österreichs	S&D	0.928571	0.962963	0.000000	0.000000
Sozialdemokratische Partei Österreichs	Greens/EFA	0.927083	0.962162	0.000000	0.000000
Sozialdemokratische Partei Österreichs	EFDD	0.913793	0.954955	0.000000	0.000000
Sozialdemokratische Partei Österreichs	GUE-NGL	0.871972	0.931608	0.000000	0.000000
Sozialdemokratische Partei Österreichs	NI	0.000000	0.000000	0.000000	0.000000
United Kingdom Independence Party	EFDD	0.439716	0.610837	0.000000	0.000000
United Kingdom Independence Party	ALDE/ADLE	0.416961	0.588529	0.000000	0.000000
United Kingdom Independence Party	ECR	0.415225	0.586797	0.000000	0.000000
United Kingdom Independence Party	EPP	0.412371	0.583942	0.000000	0.000000
United Kingdom Independence Party	S&D	0.412162	0.583732	0.000000	0.000000
United Kingdom Independence Party	Greens/EFA	0.409722	0.581281	0.000000	0.000000
United Kingdom Independence Party	GUE-NGL	0.385159	0.556122	0.000000	0.000000
United Kingdom Independence Party	NI	0.000000	0.000000	0.000000	0.000000
Österreichische Volkspartei	ALDE/ADLE	0.942446	0.970370	0.000000	0.000000
Österreichische Volkspartei	EPP	0.916376	0.956364	0.000000	0.000000
Österreichische Volkspartei	ECR	0.916084	0.956204	0.000000	0.000000
Österreichische Volkspartei	EFDD	0.898955	0.946789	0.000000	0.000000
Österreichische Volkspartei	Greens/EFA	0.898955	0.946789	0.000000	0.000000
Österreichische Volkspartei	S&D	0.894558	0.944345	0.000000	0.000000
Österreichische Volkspartei	GUE-NGL	0.856643	0.922787	0.000000	0.000000
Österreichische Volkspartei	NI	0.000000	0.000000	0.000000	0.000000
Česká strana sociálně demokratická	ALDE/ADLE	0.830325	0.907298	0.000000	0.000000
Česká strana sociálně demokratická	Greens/EFA	0.809187	0.894531	0.000000	0.000000
Česká strana sociálně demokratická	EPP	0.801394	0.889749	0.000000	0.000000
Česká strana sociálně demokratická	ECR	0.794425	0.885437	0.000000	0.000000
Česká strana sociálně demokratická	EFDD	0.790210	0.882812	0.000000	0.000000
Česká strana sociálně demokratická	S&D	0.782313	0.877863	0.000000	0.000000
Česká strana sociálně demokratická	GUE-NGL	0.772242	0.871486	0.000000	0.000000
Česká strana sociálně demokratická	NI	0.000000	0.000000	0.000000	0.000000
