party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
-1	-1	1.000000	1.000000	1.000000	1.000000
-1	Österreichische Volkspartei	1.000000	1.000000	0.979730	0.989761
-1	Platforma Obywatelska	0.996552	0.998273	0.983165	0.991511
-1	Christlich-Soziale Union in Bayern e.V.	0.996552	0.998273	0.979730	0.989761
-1	Partija 'VIENOTIBA'	0.996552	0.998273	0.979730	0.989761
-1	Citizens for European Development of Bulgaria	0.996540	0.998267	0.972973	0.986301
-1	Moderaterna	0.993103	0.996540	0.979730	0.989761
-1	Kansallinen Kokoomus	0.993103	0.996540	0.976351	0.988034
-1	Democraten 66	0.989726	0.994836	0.993266	0.996622
-1	Partido Popular	0.989691	0.994819	0.989899	0.994924
-1	Arbetarepartiet- Socialdemokraterna	0.989691	0.994819	0.983108	0.991482
-1	Mouvement Démocrate	0.989691	0.994819	0.983108	0.991482
-1	Socialdemokratiet	0.989655	0.994801	0.972973	0.986301
-1	Sozialdemokratische Partei Österreichs	0.986348	0.993127	0.993243	0.996610
-1	Partit Nazzjonalista	0.986348	0.993127	0.989865	0.994907
-1	Christlich Demokratische Union Deutschlands	0.986301	0.993103	0.986532	0.993220
-1	Freie Demokratische Partei	0.986207	0.993056	0.979730	0.989761
-1	Bündnis 90/Die Grünen	0.982993	0.991424	0.993266	0.996622
-1	Sozialdemokratische Partei Deutschlands	0.979661	0.989726	0.993266	0.996622
-1	Partij van de Arbeid	0.979592	0.989691	0.986532	0.993220
Arbetarepartiet- Socialdemokraterna	Arbetarepartiet- Socialdemokraterna	1.000000	1.000000	1.000000	1.000000
Arbetarepartiet- Socialdemokraterna	Democraten 66	0.993151	0.996564	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Platforma Obywatelska	0.993127	0.996552	0.993174	0.996575
Arbetarepartiet- Socialdemokraterna	Christlich-Soziale Union in Bayern e.V.	0.993127	0.996552	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Partija 'VIENOTIBA'	0.993127	0.996552	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Partido Popular	0.993127	0.996552	0.979730	0.989761
Arbetarepartiet- Socialdemokraterna	Moderaterna	0.989691	0.994819	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Österreichische Volkspartei	0.989691	0.994819	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Kansallinen Kokoomus	0.989691	0.994819	0.986301	0.993103
Arbetarepartiet- Socialdemokraterna	-1	0.989691	0.994819	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Mouvement Démocrate	0.986301	0.993103	0.993151	0.996564
Arbetarepartiet- Socialdemokraterna	Citizens for European Development of Bulgaria	0.986254	0.993080	0.982877	0.991364
Arbetarepartiet- Socialdemokraterna	Socialdemokratiet	0.986254	0.993080	0.982877	0.991364
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Deutschlands	0.983051	0.991453	0.983108	0.991482
Arbetarepartiet- Socialdemokraterna	Sozialdemokratische Partei Österreichs	0.982993	0.991424	0.989796	0.994872
Arbetarepartiet- Socialdemokraterna	Partit Nazzjonalista	0.982993	0.991424	0.979661	0.989726
Arbetarepartiet- Socialdemokraterna	Christlich Demokratische Union Deutschlands	0.982935	0.991394	0.989796	0.994872
Arbetarepartiet- Socialdemokraterna	Freie Demokratische Partei	0.982818	0.991334	0.989726	0.994836
Arbetarepartiet- Socialdemokraterna	Labour Party	0.979730	0.989761	0.979798	0.989796
Arbetarepartiet- Socialdemokraterna	Bündnis 90/Die Grünen	0.979661	0.989726	0.983108	0.991482
Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	1.000000	1.000000	1.000000	1.000000
Bündnis 90/Die Grünen	Sozialdemokratische Partei Deutschlands	0.996610	0.998302	1.000000	1.000000
Bündnis 90/Die Grünen	Sozialdemokratische Partei Österreichs	0.996599	0.998296	0.993243	0.996610
Bündnis 90/Die Grünen	Labour Party	0.993243	0.996610	0.996633	0.998314
Bündnis 90/Die Grünen	Parti socialiste	0.993220	0.996599	0.993266	0.996622
Bündnis 90/Die Grünen	Sinn Féin	0.993220	0.996599	0.989899	0.994924
Bündnis 90/Die Grünen	Die Grünen - Die Grüne Alternative	0.989899	0.994924	0.996633	0.998314
Bündnis 90/Die Grünen	Christen Democratisch Appel	0.989865	0.994907	0.993266	0.996622
Bündnis 90/Die Grünen	Partij van de Arbeid	0.989831	0.994889	0.993243	0.996610
Bündnis 90/Die Grünen	Independent	0.986577	0.993243	0.993289	0.996633
Bündnis 90/Die Grünen	Les Républicains	0.986577	0.993243	0.993289	0.996633
Bündnis 90/Die Grünen	Partido Socialista Obrero Espanol	0.986577	0.993243	0.993289	0.996633
Bündnis 90/Die Grünen	Green Party	0.986486	0.993197	0.993243	0.996610
Bündnis 90/Die Grünen	Democraten 66	0.986441	0.993174	1.000000	1.000000
Bündnis 90/Die Grünen	Fine Gael Party	0.986441	0.993174	0.986486	0.993197
Bündnis 90/Die Grünen	Partito Democratico	0.983221	0.991540	0.993289	0.996633
Bündnis 90/Die Grünen	Europe Écologie	0.983165	0.991511	0.989933	0.994941
Bündnis 90/Die Grünen	Partit Nazzjonalista	0.983108	0.991482	0.983165	0.991511
Bündnis 90/Die Grünen	Izquierda Unida	0.983051	0.991453	0.986532	0.993220
Bündnis 90/Die Grünen	-1	0.982993	0.991424	0.993266	0.996622
Christen Democratisch Appel	Christen Democratisch Appel	1.000000	1.000000	1.000000	1.000000
Christen Democratisch Appel	Die Grünen - Die Grüne Alternative	0.993266	0.996622	0.996633	0.998314
Christen Democratisch Appel	Sozialdemokratische Partei Deutschlands	0.993243	0.996610	0.993266	0.996622
Christen Democratisch Appel	Independent	0.989933	0.994941	0.993289	0.996633
Christen Democratisch Appel	Les Républicains	0.989933	0.994941	0.993289	0.996633
Christen Democratisch Appel	Partido Socialista Obrero Espanol	0.989933	0.994941	0.993289	0.996633
Christen Democratisch Appel	Labour Party	0.989899	0.994924	0.989933	0.994941
Christen Democratisch Appel	Bündnis 90/Die Grünen	0.989865	0.994907	0.993266	0.996622
Christen Democratisch Appel	Parti socialiste	0.989865	0.994907	0.993266	0.996622
Christen Democratisch Appel	Sinn Féin	0.989865	0.994907	0.989899	0.994924
Christen Democratisch Appel	Fine Gael Party	0.989831	0.994889	0.986486	0.993197
Christen Democratisch Appel	Partito Democratico	0.986577	0.993243	0.993289	0.996633
Christen Democratisch Appel	Sozialdemokratische Partei Österreichs	0.986486	0.993197	0.986532	0.993220
Christen Democratisch Appel	Izquierda Unida	0.986441	0.993174	0.986532	0.993220
Christen Democratisch Appel	Conservative Party	0.983221	0.991540	0.986577	0.993243
Christen Democratisch Appel	Green Party	0.983165	0.991511	0.986532	0.993220
Christen Democratisch Appel	Democraten 66	0.983108	0.991482	0.993266	0.996622
Christen Democratisch Appel	Partido Popular	0.983051	0.991453	0.996622	0.998308
Christen Democratisch Appel	Movimento 5 Stelle	0.979933	0.989865	0.989967	0.994958
Christen Democratisch Appel	Europe Écologie	0.979866	0.989831	0.989933	0.994941
Christlich Demokratische Union Deutschlands	Christlich Demokratische Union Deutschlands	1.000000	1.000000	1.000000	1.000000
Christlich Demokratische Union Deutschlands	Kansallinen Kokoomus	0.993127	0.996552	0.982993	0.991424
Christlich Demokratische Union Deutschlands	Platforma Obywatelska	0.989726	0.994836	0.989831	0.994889
