party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
-1	-1	1.000000	1.000000	0.000000	0.000000
-1	Independent	0.962069	0.980668	0.000000	0.000000
-1	Bündnis 90/Die Grünen	0.958621	0.978873	0.000000	0.000000
-1	Sozialdemokratische Partei Deutschlands	0.954545	0.976744	0.000000	0.000000
-1	Movimento 5 Stelle	0.952218	0.975524	0.000000	0.000000
-1	Europe Écologie	0.951049	0.974910	0.000000	0.000000
-1	Die Grünen - Die Grüne Alternative	0.940767	0.969479	0.000000	0.000000
-1	Partij van de Arbeid	0.940767	0.969479	0.000000	0.000000
-1	Parti socialiste	0.940559	0.969369	0.000000	0.000000
-1	Partido Socialista Obrero Espanol	0.940141	0.969147	0.000000	0.000000
-1	Sozialdemokratische Partei Österreichs	0.936396	0.967153	0.000000	0.000000
-1	Les Républicains	0.933798	0.965766	0.000000	0.000000
-1	Lega Nord	0.930796	0.964158	0.000000	0.000000
-1	Labour Party	0.930556	0.964029	0.000000	0.000000
-1	Partito Democratico	0.930314	0.963899	0.000000	0.000000
-1	Mouvement Démocrate	0.929825	0.963636	0.000000	0.000000
-1	Conservative Party	0.927336	0.962298	0.000000	0.000000
-1	Fine Gael Party	0.922535	0.959707	0.000000	0.000000
-1	Christlich Demokratische Union Deutschlands	0.920139	0.958409	0.000000	0.000000
-1	Platforma Obywatelska	0.920139	0.958409	0.000000	0.000000
-1	Partido Popular	0.912892	0.954463	0.000000	0.000000
-1	Forza Italia	0.912587	0.954296	0.000000	0.000000
-1	Democraten 66	0.912281	0.954128	0.000000	0.000000
-1	PODEMOS	0.912281	0.954128	0.000000	0.000000
-1	Arbetarepartiet- Socialdemokraterna	0.908127	0.951852	0.000000	0.000000
-1	Česká strana sociálně demokratická	0.904594	0.949907	0.000000	0.000000
-1	Christen Democratisch Appel	0.901754	0.948339	0.000000	0.000000
-1	Partit Nazzjonalista	0.895470	0.944853	0.000000	0.000000
-1	Nea Demokratia	0.895105	0.944649	0.000000	0.000000
-1	Freie Demokratische Partei	0.894366	0.944238	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Arbetarepartiet- Socialdemokraterna	1.000000	1.000000	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Fine Gael Party	0.962406	0.980843	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Česká strana sociálně demokratická	0.958175	0.978641	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Partito Democratico	0.948529	0.973585	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Österreichische Volkspartei	0.946970	0.972763	0.000000	0.000000
Arbetarepartiet- Socialdemokraterna	Les Républicains	0.945055	0.971751	0.000000	0.000000
